division,match_id,match_number,league,stage,date,start_time_ist,venue,city,home_team,home_score,away_team,away_score,winning_team,winning_margin,result_text,toss,referee,player_of_the_match,status
Men,121,1,Rugby Premier League Season 2 (Mens) 2026,League,2026-06-16,19:45,"G. M. C. Balayogi Athletic Stadium Gachibowli, Hyderabad",Hyderabad,Hyderabad Heroes,21,Bengaluru Bravehearts,28,Bengaluru Bravehearts,7,Bengaluru Bravehearts Beat Hyderabad Heroes  (28-21 ),Bengaluru Bravehearts Choosed to Kick Off,Adriaan Jacobs,,Match Completed
Men,122,2,Rugby Premier League Season 2 (Mens) 2026,League,2026-06-16,20:15,"G. M. C. Balayogi Athletic Stadium Gachibowli, Hyderabad",Hyderabad,Chennai Bulls,21,Delhi Redz,31,Delhi Redz,10,Delhi Redz Beat Chennai Bulls  (31-21 ),Chennai Bulls Choosed to Kick Off,Tevita Rokovereni,,Match Completed
Men,123,3,Rugby Premier League Season 2 (Mens) 2026,League,2026-06-16,21:45,"G. M. C. Balayogi Athletic Stadium Gachibowli, Hyderabad",Hyderabad,Kolkata Banga Tigers,14,Mumbai Dreamers,21,Mumbai Dreamers,7,Mumbai Dreamers Beat Kolkata Banga Tigers  (21-14 ),Mumbai Dreamers Choosed to Kick Off,Nicholas Hogan,,Match Completed
Men,124,4,Rugby Premier League Season 2 (Mens) 2026,League,2026-06-17,19:45,"G. M. C. Balayogi Athletic Stadium Gachibowli, Hyderabad",Hyderabad,Hyderabad Heroes,31,Delhi Redz,17,Hyderabad Heroes,14,Hyderabad Heroes Beat Delhi Redz  (31-17 ),Delhi Redz Choosed to Kick Off,Nicholas Hogan,,Match Completed
Men,125,5,Rugby Premier League Season 2 (Mens) 2026,League,2026-06-17,20:15,"G. M. C. Balayogi Athletic Stadium Gachibowli, Hyderabad",Hyderabad,Bengaluru Bravehearts,7,Mumbai Dreamers,19,Mumbai Dreamers,12,Mumbai Dreamers Beat Bengaluru Bravehearts  (19-7 ),Mumbai Dreamers Choosed to Kick Off,Tevita Rokovereni,,Match Completed
Men,126,6,Rugby Premier League Season 2 (Mens) 2026,League,2026-06-17,21:45,"G. M. C. Balayogi Athletic Stadium Gachibowli, Hyderabad",Hyderabad,Chennai Bulls,26,Kolkata Banga Tigers,24,Chennai Bulls,2,Chennai Bulls Beat Kolkata Banga Tigers  (26-24 ),Kolkata Banga Tigers Choosed to Kick Off,Adriaan Jacobs,,Match Completed
Men,127,7,Rugby Premier League Season 2 (Mens) 2026,League,2026-06-18,19:45,"G. M. C. Balayogi Athletic Stadium Gachibowli, Hyderabad",Hyderabad,Bengaluru Bravehearts,38,Delhi Redz,28,Bengaluru Bravehearts,10,Bengaluru Bravehearts Beat Delhi Redz  (38-28 ),Delhi Redz Choosed to Kick Off,Adriaan Jacobs,,Match Completed
Men,128,8,Rugby Premier League Season 2 (Mens) 2026,League,2026-06-18,21:15,"G. M. C. Balayogi Athletic Stadium Gachibowli, Hyderabad",Hyderabad,Chennai Bulls,5,Hyderabad Heroes,24,Hyderabad Heroes,19,Hyderabad Heroes Beat Chennai Bulls  (24-5 ),Chennai Bulls Choosed to Kick Off,Tevita Rokovereni,,Match Completed
Men,129,9,Rugby Premier League Season 2 (Mens) 2026,League,2026-06-19,19:45,"G. M. C. Balayogi Athletic Stadium Gachibowli, Hyderabad",Hyderabad,Delhi Redz,14,Mumbai Dreamers,31,Mumbai Dreamers,17,Mumbai Dreamers Beat Delhi Redz  (31-14 ),Delhi Redz Choosed to Kick Off,Nicholas Hogan,,Match Completed
Men,130,10,Rugby Premier League Season 2 (Mens) 2026,League,2026-06-19,21:15,"G. M. C. Balayogi Athletic Stadium Gachibowli, Hyderabad",Hyderabad,Bengaluru Bravehearts,14,Kolkata Banga Tigers,5,Bengaluru Bravehearts,9,Bengaluru Bravehearts Beat Kolkata Banga Tigers  (14-5 ),Bengaluru Bravehearts Choosed to Kick Off,Tevita Rokovereni,,Match Completed
Men,131,11,Rugby Premier League Season 2 (Mens) 2026,League,2026-06-20,19:45,"G. M. C. Balayogi Athletic Stadium Gachibowli, Hyderabad",Hyderabad,Chennai Bulls,7,Mumbai Dreamers,26,Mumbai Dreamers,19,Mumbai Dreamers Beat Chennai Bulls  (26-7 ),Chennai Bulls Choosed to Kick Off,Adriaan Jacobs,,Match Completed
Men,132,12,Rugby Premier League Season 2 (Mens) 2026,League,2026-06-20,21:15,"G. M. C. Balayogi Athletic Stadium Gachibowli, Hyderabad",Hyderabad,Hyderabad Heroes,26,Kolkata Banga Tigers,19,Hyderabad Heroes,7,Hyderabad Heroes Beat Kolkata Banga Tigers  (26-19 ),Hyderabad Heroes Choosed to Kick Off,Nicholas Hogan,,Match Completed
Men,133,13,Rugby Premier League Season 2 (Mens) 2026,League,2026-06-21,19:45,"G. M. C. Balayogi Athletic Stadium Gachibowli, Hyderabad",Hyderabad,Chennai Bulls,12,Bengaluru Bravehearts,33,Bengaluru Bravehearts,21,Bengaluru Bravehearts Beat Chennai Bulls  (33-12 ),Chennai Bulls Choosed to Kick Off,,,Match Completed
Men,134,14,Rugby Premier League Season 2 (Mens) 2026,League,2026-06-21,20:15,"G. M. C. Balayogi Athletic Stadium Gachibowli, Hyderabad",Hyderabad,Hyderabad Heroes,10,Mumbai Dreamers,12,Mumbai Dreamers,2,Mumbai Dreamers Beat Hyderabad Heroes  (12-10 ),Hyderabad Heroes Choosed to Kick Off,,,Match Completed
Men,135,15,Rugby Premier League Season 2 (Mens) 2026,League,2026-06-21,21:45,"G. M. C. Balayogi Athletic Stadium Gachibowli, Hyderabad",Hyderabad,Delhi Redz,7,Kolkata Banga Tigers,33,Kolkata Banga Tigers,26,Kolkata Banga Tigers Beat Delhi Redz  (33-7 ),Delhi Redz Choosed to Kick Off,Tevita Rokovereni,,Match Completed
Men,136,16,Rugby Premier League Season 2 (Mens) 2026,League,2026-06-22,19:45,"G. M. C. Balayogi Athletic Stadium Gachibowli, Hyderabad",Hyderabad,Bengaluru Bravehearts,7,Hyderabad Heroes,45,Hyderabad Heroes,38,Hyderabad Heroes Beat Bengaluru Bravehearts  (45-7 ),Hyderabad Heroes Choosed to Kick Off,Tevita Rokovereni,,Match Completed
