division,match_id,match_number,team_id,team,player_id,player_name,nationality,jersey_no,position,minutes_played,starter,captain,attacking_offloads,attacking_line_breaks,attacking_defenders_beaten,attacking_points,attacking_try_assists,attacking_tries,defence_discipline_tackles,defence_discipline_turnovers_won,defence_discipline_yellow_cards,defence_discipline_red_cards,defence_discipline_handling_errors,defence_discipline_knock_ons,defence_discipline_missed_tackles,defence_discipline_turnovers_conceded,defence_discipline_penalties_conceded,kicking_conversions,kicking_penalty_goals,other_dropped_goals,other_missed_conversions,other_tackle_success,other_lineouts_won,other_total_lineouts,other_penalty_conceded_offside
Men,121,1,32,Hyderabad Heroes,161,Francisco Cosculluela,Spain,5,inside Center,19,1,0,2,1,0,4,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
Men,121,1,32,Hyderabad Heroes,195,Regan Ware,,16,Hybrid,21,1,0,4,2,0,10,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Men,121,1,32,Hyderabad Heroes,207,Maurice Longbottom,Australia,11,Back,27,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Men,121,1,32,Hyderabad Heroes,260,Kevin Wekesa,Kenya,6,Forward,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Men,121,1,32,Hyderabad Heroes,302,Diego Ardao,Uruguay,13,Forward,8,0,0,1,2,5,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Men,121,1,32,Hyderabad Heroes,392,Manuel Moreno,Spain,10,Forward,24,1,1,1,2,0,5,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0
Men,121,1,32,Hyderabad Heroes,394,Sumit Roy,India,3,Hybrid,22,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Men,121,1,32,Hyderabad Heroes,397,Sambit Pradhan,India,4,Forward,23,1,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Men,121,1,32,Hyderabad Heroes,1581,Wolfram Hacker,Germany,17,Hybrid,19,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Men,121,1,32,Hyderabad Heroes,1615,Ravuama Seruvakula,Samoa,27,Back,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Men,121,1,32,Hyderabad Heroes,1616,Shivam Shukla,India,7,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Men,121,1,32,Hyderabad Heroes,1617,Rajan Rawat,India,18,Fly Half,7,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Men,121,1,32,Hyderabad Heroes,1618,Muhammed Anes K,India,2,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Men,121,1,32,Hyderabad Heroes,1678,Taitaifono Senio Tavita,Samoa,14,Scrum Half,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Men,121,1,30,Bengaluru Bravehearts,154,Shilton Van Wyk,South Africa,8,Utility Back,22,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Men,121,1,30,Bengaluru Bravehearts,199,Henry Hutchison,Australia,1,Hybrid,27,1,1,0,1,0,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Men,121,1,30,Bengaluru Bravehearts,253,Ryan Apps,United Kingdom,14,Back,5,0,0,0,0,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Men,121,1,30,Bengaluru Bravehearts,256,Zain Davids,South Africa,3,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Men,121,1,30,Bengaluru Bravehearts,372,Akuila Rokolisoa,New Zealand,4,Back,26,1,0,2,0,0,8,0,0,3,1,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0
Men,121,1,30,Bengaluru Bravehearts,376,Arpan Chhetri,India,12,Forward,13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Men,121,1,30,Bengaluru Bravehearts,410,Michael Coverdale,,26,Forward,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Men,121,1,30,Bengaluru Bravehearts,413,Rajdeep Saha,India,18,Back,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Men,121,1,30,Bengaluru Bravehearts,422,Devendra Padir,India,17,Forward,13,1,0,1,1,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Men,121,1,30,Bengaluru Bravehearts,423,Akash Balmiki,India,9,Back,26,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Men,121,1,30,Bengaluru Bravehearts,425,Ganesh Majhi,India,7,Back,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Men,121,1,30,Bengaluru Bravehearts,1580,Motu Opetai,Samoa,25,Hybrid,22,1,0,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Men,121,1,30,Bengaluru Bravehearts,1653,Ngarohi Mcgarvey,,6,Back,5,0,0,0,1,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Men,121,1,30,Bengaluru Bravehearts,1679,Jonas Mikalcius,Lithuania,11,Back,21,1,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Men,122,2,31,Chennai Bulls,145,Santiago Alvarez,Argentina,9,Center,21,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Men,122,2,31,Chennai Bulls,182,Filipe Sauturaga,Fiji,7,Back,30,1,0,0,1,6,9,0,1,3,0,0,0,1,1,0,0,0,2,0,0,0,3,0,0,0
Men,122,2,31,Chennai Bulls,205,Michael Icely,Australia,1,Flanker,24,1,0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Men,122,2,31,Chennai Bulls,232,Marcus Kershaw,United Kingdom,44,Back,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Men,122,2,31,Chennai Bulls,374,Mohit Khatri,India,19,Hybrid,21,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Men,122,2,31,Chennai Bulls,375,Karan Rajbhar,India,6,Hybrid,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Men,122,2,31,Chennai Bulls,1598,Hidayat Jerffrydin,India,17,Back,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Men,122,2,31,Chennai Bulls,1599,Taualai Panoa,Samoa,25,Forward,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Men,122,2,31,Chennai Bulls,1600,Tusitafu Toilolo,Samoa,31,Back,21,1,0,1,1,0,7,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Men,122,2,31,Chennai Bulls,1601,Harpreet Singh Kamboj,India,10,Utility,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Men,122,2,31,Chennai Bulls,1602,Jugal Kishore Majhi,India,8,Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Men,122,2,31,Chennai Bulls,1652,Pranav Patil,India,2,Utility,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Men,122,2,31,Chennai Bulls,1675,Kamineli Rasuku,Fiji,12,Back,18,0,0,1,4,3,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Men,122,2,31,Chennai Bulls,1676,Marika Koroibete,Australia,11,Back,39,1,0,0,2,11,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Men,122,2,34,Delhi Redz,138,Luciano Gonzalez,Argentina,12,Forward,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Men,122,2,34,Delhi Redz,167,Josep Serres,Spain,2,Right Wing,25,1,0,0,2,4,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
