gender,entity_level,stat,stat_id,minimum_criteria,player_name,team,position,matches_played,value,rank
Men,player,Most Assists,9,Minimum 1 Assist in a match,Sebastiaan Jobb,Mumbai Dreamers,Right Wing,1,1,1
Men,player,Most Assists,9,Minimum 1 Assist in a match,Brady Rush,Kolkata Banga Tigers,Back,1,1,2
Men,player,Most Assists,9,Minimum 1 Assist in a match,Samuel Asati,Delhi Redz,Back,1,1,3
Men,player,Most Assists,9,Minimum 1 Assist in a match,Aaron Cummings,Kolkata Banga Tigers,Forward,1,1,4
Men,player,Most Assists,9,Minimum 1 Assist in a match,Motu Opetai,Bengaluru Bravehearts,Hybrid,1,1,5
Men,player,Most Assists,9,Minimum 1 Assist in a match,Tusitafu Toilolo,Chennai Bulls,Back,1,1,6
Men,player,Most Assists,9,Minimum 1 Assist in a match,Hitesh Dagar,Delhi Redz,Forward,1,1,7
Men,player,Most Assists,9,Minimum 1 Assist in a match,Rajan Rawat,Hyderabad Heroes,Fly Half,1,1,8
Men,player,Most Assists,9,Minimum 1 Assist in a match,Vikas Khatri,Mumbai Dreamers,Prop,1,1,9
Men,player,Most Assists,9,Minimum 1 Assist in a match,Marika Koroibete,Chennai Bulls,Back,1,1,10
Men,player,Most Assists,9,Minimum 1 Assist in a match,Kaleem Baretto,Mumbai Dreamers,Scrum Half,1,1,11
Men,player,Most Conversions,2,Minimum 1 Conversion in a match,Akuila Rokolisoa,Bengaluru Bravehearts,Back,1,4,1
Men,player,Most Conversions,2,Minimum 1 Conversion in a match,Francisco Cosculluela,Hyderabad Heroes,inside Center,1,2,2
Men,player,Most Conversions,2,Minimum 1 Conversion in a match,Filipe Sauturaga,Chennai Bulls,Back,1,2,3
Men,player,Most Conversions,2,Minimum 1 Conversion in a match,Lucas Mignot,Mumbai Dreamers,Back,1,2,4
Men,player,Most Conversions,2,Minimum 1 Conversion in a match,Vuiviwa Naduvalo,Kolkata Banga Tigers,Back,1,1,5
Men,player,Most Conversions,2,Minimum 1 Conversion in a match,Brady Rush,Kolkata Banga Tigers,Back,1,1,6
Men,player,Most Conversions,2,Minimum 1 Conversion in a match,Samuel Asati,Delhi Redz,Back,1,1,7
Men,player,Most Conversions,2,Minimum 1 Conversion in a match,Deepak Punia,Delhi Redz,Back,1,1,8
Men,player,Most Conversions,2,Minimum 1 Conversion in a match,Tusitafu Toilolo,Chennai Bulls,Back,1,1,9
Men,player,Most Conversions,2,Minimum 1 Conversion in a match,Rajan Rawat,Hyderabad Heroes,Fly Half,1,1,10
Men,player,Most Conversions,2,Minimum 1 Conversion in a match,Guillaume Bouche,Mumbai Dreamers,Back,1,1,11
Men,player,Most Conversions,2,Minimum 1 Conversion in a match,Alasio Naduva,Delhi Redz,Back,1,1,12
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Motu Opetai,Bengaluru Bravehearts,Hybrid,1,3,1
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Francisco Cosculluela,Hyderabad Heroes,inside Center,1,2,2
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Regan Ware,Hyderabad Heroes,Hybrid,1,2,3
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Brady Rush,Kolkata Banga Tigers,Back,1,2,4
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Michael Icely,Chennai Bulls,Flanker,1,2,5
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Patrick Odongo Okongo,Delhi Redz,Back,1,2,6
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Lucas Lacamp,Kolkata Banga Tigers,Back,1,2,7
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Akuila Rokolisoa,Bengaluru Bravehearts,Back,1,2,8
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Sumit Roy,Hyderabad Heroes,Hybrid,1,2,9
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Sambit Pradhan,Hyderabad Heroes,Forward,1,2,10
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Deepak Punia,Delhi Redz,Back,1,2,11
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Ricardo Duartee,Kolkata Banga Tigers,Back,1,2,12
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Sebastiaan Jobb,Mumbai Dreamers,Right Wing,1,1,13
